StockID,StockName,Exchange,Category_code,Category,Reference,ShareCapital,Total_Shares,MarketCapital,Chairman,DayTrade
2328,廣宇,TSE,28,電子零組件,34.75,5180000000.0,518300.0,18100000000.0,李光曜,Yes
2329,華泰,TSE,24,半導體業,59.1,7350000000.0,555300.0,33100000000.0,董悅明,Yes
2330,台積電,TSE,24,半導體業,839.0,259400000000.0,25940000.0,21811400000000.0,劉德音,Yes
2331,精英,TSE,25,電腦及週邊設備業,33.55,5570000000.0,557400.0,18700000000.0,鍾依文,Yes
2332,友訊,TSE,27,通訊網路業,17.85,6030000000.0,602700.0,10900000000.0,郭金河,Yes
2337,旺宏,TSE,24,半導體業,27.1,18600000000.0,1856000.0,50500000000.0,吳敏求,Yes
2338,光罩,TSE,24,半導體業,68.5,2560000000.0,256400.0,17800000000.0,陳正翔,Yes
2340,台亞,TSE,24,半導體業,37.85,4390000000.0,438600.0,16800000000.0,王虹東,Yes
2342,茂矽,TSE,24,半導體業,31.75,1570000000.0,157200.0,4950000000.0,唐亦仙,Yes
2344,華邦電,TSE,24,半導體業,25.5,41800000000.0,4180000.0,107000000000.0,焦佑鈞,Yes
2345,智邦,TSE,27,通訊網路業,469.5,5600000000.0,560200.0,277000000000.0,寬鑫投資(股)公司,Yes
2347,聯強,TSE,29,電子通路業,86.5,16700000000.0,1668000.0,144400000000.0,苗豐強,Yes
2348,海悅,TSE,20,其他,192.0,1470000000.0,117100.0,24700000000.0,黃希文,Yes
2348A,海悅甲特,TSE,20,其他,33.55,,30000.0,1010000000.0,,No
2349,錸德,TSE,26,光電業,7.66,6940000000.0,693700.0,5840000000.0,葉垂景,No
2351,順德,TSE,24,半導體業,115.0,1820000000.0,182100.0,21200000000.0,陳朝雄,Yes
2352,佳世達,TSE,25,電腦及週邊設備業,39.25,19700000000.0,1967000.0,76900000000.0,陳其宏,Yes
2353,宏碁,TSE,25,電腦及週邊設備業,48.05,30500000000.0,3048000.0,145700000000.0,陳俊聖,Yes
2354,鴻準,TSE,31,其他電子業,60.1,14100000000.0,1414000.0,86400000000.0,呂軍甫,Yes
2355,敬鵬,TSE,28,電子零組件,43.45,3970000000.0,397500.0,17400000000.0,曾劉玉枝,Yes
2356,英業達,TSE,25,電腦及週邊設備業,54.5,35900000000.0,3588000.0,190100000000.0,葉力誠,Yes
2357,華碩,TSE,25,電腦及週邊設備業,498.0,7430000000.0,742800.0,383300000000.0,施崇棠,Yes
2359,所羅門,TSE,31,其他電子業,125.5,1710000000.0,171500.0,20600000000.0,陳政隆,Yes
